Program,SamplePoint,Description,Latitude,Longitude,SampleDate,sampleDateStart,sampleDateEnd,evaluationCode,speciesCode,speciesName,vegCommunity,abundance,breedEvidence,propSurveyed(number),Comments
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-10-18 8:15,2016-10-18 8:15,2016-10-18 9:00,E3,215,"Aythya (Nyroca) australis (Eyton, 1838)",Black box woodland,2,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-10-18 8:15,2016-10-18 8:15,2016-10-18 9:00,E3,205,"Dendrocygna (Leptotarsis) eytoni (Eyton, 1838)",Black box woodland,5,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-10-18 8:15,2016-10-18 8:15,2016-10-18 9:00,E3,59,"Fulica atra Linnaeus, 1758",Black box woodland,7,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-10-18 8:15,2016-10-18 8:15,2016-10-18 9:00,E3,213,"Malacorhynchus membranaceus (Latham, 1801)",Black box woodland,6,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-10-18 8:15,2016-10-18 8:15,2016-10-18 9:00,E3,192,"Nycticorax caledonicus (Gmelin, 1789)",Black box woodland,3,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-10 17:20,2016-12-10 17:20,2016-12-10 18:00,E3,211,"Anas (Nettion) gracilis Buller, 1869",Black box woodland,40,FALSE,0.32,at the veg transect points
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-10 17:20,2016-12-10 17:20,2016-12-10 18:00,E3,189,"Ardea (Ardea) pacifica Latham, 1801",Black box woodland,12,FALSE,0.32,at the veg transect points
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-10 17:20,2016-12-10 17:20,2016-12-10 18:00,E3,59,"Fulica atra Linnaeus, 1758",Black box woodland,3,FALSE,0.32,at the veg transect points
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-10 17:20,2016-12-10 17:20,2016-12-10 18:00,E3,56,"Gallinula (Gallinula) tenebrosa Gould, 1846",Black box woodland,1,FALSE,0.32,at the veg transect points
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-10 17:20,2016-12-10 17:20,2016-12-10 18:00,E3,146,"Himantopus himantopus (Linnaeus, 1758)",Black box woodland,30,FALSE,0.32,at the veg transect points
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-10 17:20,2016-12-10 17:20,2016-12-10 18:00,E3,213,"Malacorhynchus membranaceus (Latham, 1801)",Black box woodland,29,TRUE,0.32,"1 x 3, 1 x 4 + at the veg transect points"
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-10 17:20,2016-12-10 17:20,2016-12-10 18:00,E3,181,"Platalea (Platalea) regia Gould, 1838",Black box woodland,2,FALSE,0.32,at the veg transect points
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-10 17:20,2016-12-10 17:20,2016-12-10 18:00,E3,179,"Threskiornis molucca (Cuvier, 1829)",Black box woodland,18,FALSE,0.32,at the veg transect points
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-10 17:20,2016-12-10 17:20,2016-12-10 18:00,E3,180,"Threskiornis spinicollis (Jameson, 1835)",Black box woodland,51,FALSE,0.32,at the veg transect points
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-10 17:20,2016-12-10 17:20,2016-12-10 18:00,E3,55,"Tribonyx ventralis (Gould, 1837)",Black box woodland,8,FALSE,0.32,at the veg transect points
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-10 17:20,2016-12-10 17:20,2016-12-10 18:00,E3,133,"Vanellus (Lobipluvia) miles (Boddaert, 1783)",Black box woodland,13,FALSE,0.32,at the veg transect points
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-11 7:10,2016-12-11 7:10,2016-12-11 7:50,E3,208,"Anas (Anas) superciliosa Gmelin, 1789",Black box woodland,8,FALSE,0.32,at the veg transect points
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-11 7:10,2016-12-11 7:10,2016-12-11 7:50,E3,211,"Anas (Nettion) gracilis Buller, 1869",Black box woodland,92,FALSE,0.32,at the veg transect points
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-11 7:10,2016-12-11 7:10,2016-12-11 7:50,E3,189,"Ardea (Ardea) pacifica Latham, 1801",Black box woodland,16,FALSE,0.32,at the veg transect points
