source_id,program,site_name,latitude,longitude,survey_date,year,month,water_year,survey_type,scientific_name,common_name,functional_group,species_code,abundance,nest_count,brood_count,prop_surveyed,percent_full,breeding_evidence,veg_community,mdb_scope
S4,EAWS,,-30.58933333,147.5046667,2011-01-01,2011,,2012,aerial,Ardea pacifica,Pacific heron,La,WNH,1.0,0.0,0.0,,50.0,False,,True
S4,EAWS,Merrah Dam,-30.55917,148.2928,2011-01-01,2011,,2012,aerial,Ardea pacifica,Pacific heron,La,WNH,1.0,0.0,0.0,0.5,50.0,False,,True
S4,EAWS,Nedgera Creek L,-30.49444,147.9845,2011-01-01,2011,,2012,aerial,Ardea pacifica,Pacific heron,La,WNH,1.0,0.0,0.0,0.4,40.0,False,,True
S4,EAWS,Lochinvar Irrigation Dam,-30.46944,147.6458,1994-01-01,1994,,1995,aerial,Platalea flavipes,Yellow-billed spoonbill,La,YSB,1.0,0.0,0.0,,,False,,True
S4,EAWS,,-30.48333,148.2833333,1994-01-01,1994,,1995,aerial,Platalea flavipes,Yellow-billed spoonbill,La,YSB,1.0,0.0,0.0,0.8,80.0,False,,True
S4,EAWS,Keewong W,-30.58083,147.8603,2011-01-01,2011,,2012,aerial,Ardea pacifica,Pacific heron,La,WNH,1.0,0.0,0.0,1.0,100.0,False,,True
S4,EAWS,Keewong W,-30.58083,147.8603,1994-01-01,1994,,1995,aerial,Ardea alba,Great egret,La,LGE,1.0,0.0,0.0,,,False,,True
S4,EAWS,Gidginbill Dam,-30.445,148.2183,1995-01-01,1995,,1996,aerial,Platalea flavipes,Yellow-billed spoonbill,La,YSB,1.0,0.0,0.0,0.25,25.0,False,,True
S4,EAWS,Gidginbill Dam,-30.445,148.2183,1997-01-01,1997,,1998,aerial,Ardea alba,Great egret,La,LGE,1.0,0.0,0.0,0.8999999999999999,90.0,False,,True
S4,EAWS,,-30.485,148.4017,1996-01-01,1996,,1997,aerial,Platalea flavipes,Yellow-billed spoonbill,La,YSB,1.0,0.0,0.0,1.0,100.0,False,,True
S4,EAWS,,-30.585,147.2367,1996-01-01,1996,,1997,aerial,Platalea flavipes,Yellow-billed spoonbill,La,YSB,1.0,0.0,0.0,1.0,100.0,False,,True
S4,EAWS,,-30.41833,148.2033,1996-01-01,1996,,1997,aerial,Platalea flavipes,Yellow-billed spoonbill,La,YSB,1.0,0.0,0.0,1.0,100.0,False,,True
S4,EAWS,,-30.42417,147.1833333,1997-01-01,1997,,1998,aerial,Ardea pacifica,Pacific heron,La,WNH,1.0,0.0,0.0,0.6999999995,70.0,False,,True
S4,EAWS,,-30.63,147.31,1997-01-01,1997,,1998,aerial,Ardea pacifica,Pacific heron,La,WNH,1.0,0.0,0.0,1.0,100.0,False,,True
S4,EAWS,,-30.55333,147.2666667,1997-01-01,1997,,1998,aerial,Ardea pacifica,Pacific heron,La,WNH,1.0,0.0,0.0,0.0499999995,5.0,False,,True
S4,EAWS,,-30.535,147.1666667,1997-01-01,1997,,1998,aerial,Ardea pacifica,Pacific heron,La,WNH,1.0,0.0,0.0,0.05,5.0,False,,True
