cluster_id,region,centroid_lat,centroid_lon,multi_source,has_breeding,habitat_tier,total_abundance,n_points,n_species,n_years,extent_km,urban_fraction_pct,n_sources,sources,predicted_suitability,suitability_tier
231,Northern Basin,-28.47128248665361,148.83077921382423,False,True,Breeding confirmed,5528.0,13,19,25,14.23,0.2986894798311825,1,S4,0.1879456322798397,Moderate
242,Northern Basin,-28.41961942240718,150.2157628475134,False,True,Breeding confirmed,5014.0,5,17,7,10.28,0.0244867959383762,1,S4,0.2262157569436663,High
165,Northern Basin,-30.50541708578207,151.243884609191,False,True,Breeding confirmed,4996.0,106,16,10,65.05,0.1183004452218209,1,S4,0.1913781789618351,Moderate
226,Northern Basin,-28.53051769574989,145.4382457860743,False,True,Breeding confirmed,4440.0,22,16,18,20.73,0.0028118348640811,1,S4,0.06202679831195682,Low
24,Southern Basin,-36.4049692096245,149.13795565774876,False,True,Breeding confirmed,3900.0,23,14,12,21.88,0.0557870877128786,1,S4,0.18357084834099463,Moderate
69,Lachlan Disconnected,-34.46168657057093,149.29021031916128,False,True,Breeding confirmed,3238.0,160,12,12,55.54,0.2363941157032051,1,S4,0.19324264158165166,Moderate
26,Wimmera Disconnected,-36.40354127564604,141.56530145153067,False,True,Breeding confirmed,2841.0,11,19,23,15.49,0.3013384621401199,1,S4,0.19990926409117912,Moderate
186,Northern Basin,-30.40250567807555,149.5884093135249,False,True,Breeding confirmed,2639.0,63,11,26,42.31,0.1614855587110129,1,S4,0.18263499604863562,Moderate
271,Northern Basin,-26.432820993142524,146.6717087204505,False,True,Breeding confirmed,2171.0,7,25,7,12.03,0.0627896184898382,1,S4,0.1554920560062725,Low
234,Northern Basin,-28.48999503376536,149.3437622236114,False,True,Breeding confirmed,1959.0,6,17,8,6.56,0.0037577210362346,1,S4,0.12028223744141026,Low
4,Southern Basin,-36.593810463962924,145.21505547523202,False,True,Breeding confirmed,1744.0,10,17,11,10.73,1.7431294693922226,1,S4,0.19185328318213293,Moderate
130,Southern Basin,-32.519833742305515,144.67726564785156,False,True,Breeding confirmed,1474.0,14,16,15,17.55,0.0028836858200098,1,S4,0.08476503363993619,Low
218,Northern Basin,-28.52963857862867,144.30285502883092,False,True,Breeding confirmed,1283.0,56,12,16,34.15,0.0,1,S4,0.04814012156325149,Low
180,Northern Basin,-30.450460583200908,146.0595263889263,False,True,Breeding confirmed,1176.0,29,11,7,30.78,0.0142555970828705,1,S4,0.07716913329017393,Low
258,Northern Basin,-26.526727155273665,146.0250584696488,False,True,Breeding confirmed,1026.0,41,12,18,24.26,0.0753434729631389,1,S4,0.1152279863714111,Low
166,Northern Basin,-30.55085180838377,148.96649108234303,False,True,Breeding confirmed,330.0,21,15,15,27.99,0.009657180806714,1,S4,0.174305341921933,Moderate
179,Northern Basin,-30.506479133440312,145.12518115376255,False,False,Candidate,2112.0,5,23,3,4.43,0.0,1,S3,0.08899709417368108,Low
120,Northern Basin,-32.68652022293247,149.1856022122552,False,False,Candidate,623.0,3,13,1,0.75,0.0,1,S3,0.19647441246229452,Moderate
49,Southern Basin,-35.70771723361596,139.25095993941153,False,False,Candidate,0.0,3,0,2,0.01,0.0,1,S3,0.18394456892404606,Moderate
65,Southern Basin,-34.53050005412377,144.56435599096173,False,False,Candidate,55928.0,78,25,15,47.8,0.0226450396647953,1,"S3,S4",0.21262485751394142,High
100,Lachlan Disconnected,-33.84685971288495,144.49282366349271,False,False,Candidate,14191.0,13,36,4,12.1,0.0004162976786343543,1,"S3,S4",0.2130763621139434,High
104,Lachlan Disconnected,-33.76817329543256,144.62953355992758,False,False,Candidate,2503.0,3,12,1,0.66,0.0,1,"S3,S4",0.22897046488585943,High
151,Southern Basin,-32.34074408225644,143.07160111210797,False,False,Candidate,1411.0,3,8,8,2.97,0.0,1,"S3,S4",0.19218639632062487,Moderate
147,Southern Basin,-32.403176623269,142.6338896383468,False,False,Candidate,23721.0,4,29,24,7.68,0.0,1,S4,0.19716854831673208,Moderate
