cluster_id,centroid_lat,centroid_lon,n_points,n_sources,sources,multi_source,total_abundance,n_species,n_years,has_breeding,lat_min,lat_max,lon_min,lon_max,extent_km,habitat_tier
190,-30.119235,144.96855,4,1,S4,False,108.0,4,1,False,-30.13472,-30.10139,144.9103,145.0258,11.69,Candidate
77,-34.36348636363636,147.05606061818182,11,1,S4,False,101.0,3,2,False,-34.4,-34.34167,147.0,147.1166667,12.5,Candidate
19,-36.4893,142.44677334,5,1,S4,False,98.0,3,2,False,-36.529,-36.4725,142.4142,142.4666667,7.83,Candidate
79,-34.36833000000001,144.9239,3,1,S4,False,94.0,2,1,False,-34.37167,-34.36666,144.9166667,144.9333333,1.63,Candidate
182,-30.46419055583333,146.427272225,12,1,S4,False,93.0,5,12,False,-30.5,-30.42966667,146.35,146.5308,18.98,Candidate
233,-28.49996,150.446958325,4,1,S4,False,79.0,4,2,False,-28.51667,-28.4665,150.4333333,150.4545,5.94,Candidate
122,-32.6365975,143.970833325,4,1,S4,False,75.0,1,2,False,-32.65,-32.62083,143.95,143.9833333,4.49,Candidate
134,-32.567965,146.94629999999998,6,1,S4,False,71.0,3,1,False,-32.58611,-32.55,146.8728,147.005,13.0,Candidate
67,-34.60305,145.04444443333333,3,1,S4,False,68.0,4,1,False,-34.60305,-34.60305,145.0166667,145.0833333,6.09,Candidate
183,-30.477176666,149.14033999999998,5,1,S4,False,67.0,5,1,False,-30.49033333,-30.46333,149.1136,149.1833333,7.31,Candidate
176,-30.51653,149.38059001,10,1,S4,False,66.0,4,2,False,-30.53667,-30.5,149.3314,149.4666667,13.56,Candidate
146,-32.42870666666666,143.65464443333335,3,1,S4,False,65.0,5,5,False,-32.45,-32.41806,143.6333333,143.6806,5.67,Candidate
259,-26.52151296222222,146.75836296666665,9,1,S4,False,60.0,5,2,False,-26.551,-26.48,146.7088333,146.8,12.0,Candidate
11,-36.559944,144.26250666,5,1,S4,False,59.0,3,2,False,-36.57195,-36.55194,144.2,144.2928,8.57,Candidate
238,-28.45590833375,144.4869416625,8,1,S4,False,59.0,2,6,False,-28.5,-28.435,144.45,144.5333333,10.87,Candidate
13,-36.52444666666667,146.23278889999997,3,1,S4,False,58.0,6,5,False,-36.53667,-36.5,146.2166667,146.25,5.04,Candidate
174,-30.4836325,150.45450555,12,1,S4,False,54.0,2,1,False,-30.54333,-30.45139,150.4319,150.5166667,13.03,Candidate
246,-28.421939999999996,148.4172111,3,1,S4,False,50.0,1,2,False,-28.42194,-28.42194,148.4,148.4333333,3.25,Candidate
248,-28.423426666666668,146.9833222,3,1,S4,False,38.0,2,1,False,-28.45694,-28.39667,146.9833,146.9833333,6.69,Candidate
15,-36.506357334,143.50296666,5,1,S4,False,36.0,5,3,False,-36.51556,-36.5,143.45,143.55,9.09,Candidate
162,-30.624333999999998,147.105,5,1,S4,False,31.0,2,1,False,-30.63,-30.615,147.0433,147.16,11.27,Candidate
265,-26.4892608325,148.918916675,4,1,S4,False,29.0,4,4,False,-26.50093333,-26.47667,148.9,148.95,5.65,Candidate
