cluster_id,region,centroid_lat,centroid_lon,n_points,n_sources,sources,multi_source,total_abundance,n_species,n_years,has_breeding,extent_km,habitat_tier,urban_fraction_pct,is_urban
61,Lachlan Disconnected,,,1197,2,"S1,S3,S4",,,43,38,,309.83,,0.43045836132918747,0
204,Northern Basin,,,90,2,"S1,S3,S4",,,70,11,,39.4,,0.03102845485168524,0
206,Northern Basin,,,9,2,"S1,S3,S4",,,54,11,,6.33,,0.0,0
209,Northern Basin,,,14,2,"S1,S3,S4",,,38,10,,9.79,,0.03497401538420047,0
196,Northern Basin,,,19,2,"S1,S3,S4",,,43,10,,13.1,,0.04146019112790954,0
203,Northern Basin,,,11,2,"S1,S3,S4",,,24,11,,8.68,,0.07194916773464713,0
199,Northern Basin,,,10,2,"S1,S3,S4",,,38,11,,11.89,,0.31459209620582473,0
200,Northern Basin,,,4,2,"S1,S3,S4",,,14,10,,0.47,,0.0,0
103,Lachlan Disconnected,,,5,2,"S2,S3,S4",,,28,7,,5.11,,0.0,0
50,Southern Basin,,,19,2,"S3,S4",,,54,12,,18.11,,0.07441013236606196,0
212,Northern Basin,,,22,2,"S3,S4",,,58,10,,13.35,,0.0,0
121,Southern Basin,,,142,2,"S3,S4",,,50,31,,59.37,,0.12361583620086437,0
161,Northern Basin,,,196,2,"S3,S4",,,44,36,,79.96,,0.010962373206149355,0
159,Northern Basin,,,68,2,"S3,S4",,,59,38,,39.62,,0.0015677780567571078,0
48,Wimmera Disconnected,,,93,2,"S3,S4",,,41,11,,27.38,,0.44182601448130365,0
51,"Coorong, Lower Lakes and Murray Mouth Ramsar site",,,8,2,"S3,S4",,,57,15,,6.4,,0.0,0
33,Southern Basin,,,5,2,"S3,S4",,,54,14,,6.0,,0.23646603887563128,0
7,Southern Basin,,,164,2,"S3,S4",,,50,39,,33.12,,0.626120701961066,0
105,Lachlan Disconnected,,,8,2,"S3,S4",,,61,14,,5.28,,0.0,0
96,Lachlan Disconnected,,,39,2,"S3,S4",,,35,6,,20.69,,0.004268319219583861,0
167,Northern Basin,,,70,2,"S3,S4",,,38,21,,38.21,,4.6045949957694977E-4,0
192,Northern Basin,,,14,2,"S3,S4",,,55,9,,9.41,,0.0,0
129,Southern Basin,,,59,2,"S3,S4",,,43,21,,33.61,,0.0016419500267021644,0
214,Northern Basin,,,808,2,"S3,S4",,,55,41,,219.48,,0.2602709340965451,0
34,"Coorong, Lower Lakes and Murray Mouth Ramsar site",,,4,2,"S3,S4",,,32,3,,1.39,,0.0,0
108,Lachlan Disconnected,,,10,2,"S3,S4",,,47,8,,9.97,,0.08446526416868692,0
46,"Coorong, Lower Lakes and Murray Mouth Ramsar site",,,4,2,"S3,S4",,,39,3,,1.44,,0.0,0
172,Northern Basin,,,5,2,"S3,S4",,,40,41,,12.84,,0.0,0
128,Southern Basin,,,4,2,"S3,S4",,,34,28,,5.98,,0.0010190836564129859,0
1,Southern Basin,,,229,2,"S3,S4",,,48,42,,87.26,,0.778595093534488,0
178,Northern Basin,,,23,2,"S3,S4",,,40,19,,24.63,,0.0,0
78,Southern Basin,,,51,2,"S3,S4",,,32,8,,21.81,,1.6836686421167417,0
160,Northern Basin,,,52,2,"S3,S4",,,37,24,,35.69,,2.3521121225099308E-4,0
74,Southern Basin,,,6,2,"S3,S4",,,35,37,,7.12,,0.0,0
158,Northern Basin,,,9,2,"S3,S4",,,41,7,,7.12,,0.0,0
62,Wimmera Disconnected,,,122,2,"S3,S4",,,31,35,,59.47,,0.21465422516006835,0
208,Northern Basin,,,5,2,"S3,S4",,,35,4,,4.73,,0.0,0
193,Northern Basin,,,25,2,"S3,S4",,,37,8,,10.3,,0.0,0
85,Southern Basin,,,52,2,"S3,S4",,,30,10,,26.96,,1.8099833850284792,0
63,Southern Basin,,,45,2,"S3,S4",,,35,39,,30.52,,1.1231567503368636,0
57,Wimmera Disconnected,,,133,2,"S3,S4",,,29,11,,18.83,,0.061087739249864756,0
52,Southern Basin,,,5,2,"S3,S4",,,35,3,,6.59,,7.926458860943263,0
32,Wimmera Disconnected,,,6,2,"S3,S4",,,34,10,,3.73,,0.0,0
72,Southern Basin,,,28,2,"S3,S4",,,34,31,,25.83,,2.9213706988206,0
137,Southern Basin,,,28,2,"S3,S4",,,35,20,,22.53,,2.2457206158911684E-4,0
154,Southern Basin,,,26,2,"S3,S4",,,29,8,,19.05,,0.004306358374279258,0
39,Southern Basin,,,88,2,"S3,S4",,,28,13,,27.57,,0.03833185559908078,0
80,Southern Basin,,,26,2,"S3,S4",,,33,8,,21.34,,3.1118202799543715,0
170,Northern Basin,,,6,2,"S3,S4",,,31,28,,3.62,,0.0,0
91,Lachlan Disconnected,,,28,2,"S3,S4",,,34,7,,25.39,,5.583705370607454E-4,0
107,Lachlan Disconnected,,,4,2,"S3,S4",,,42,11,,6.47,,0.0,0
116,Southern Basin,,,6,2,"S3,S4",,,29,4,,4.04,,0.0,0
84,Southern Basin,,,4,2,"S3,S4",,,19,6,,4.17,,0.0,0
94,Wimmera Disconnected,,,34,2,"S3,S4",,,29,10,,22.69,,0.013892052998090414,0
210,Northern Basin,,,17,2,"S3,S4",,,29,5,,5.57,,0.0,0
37,Southern Basin,,,17,2,"S3,S4",,,17,8,,13.53,,0.06816082800469225,0
86,Lachlan Disconnected,,,20,2,"S3,S4",,,24,4,,9.52,,0.0,0
87,Wimmera Disconnected,,,41,2,"S3,S4",,,27,9,,33.38,,0.028415947476102533,0
117,Southern Basin,,,6,2,"S3,S4",,,22,5,,2.48,,0.0,0
111,Southern Basin,,,5,2,"S3,S4",,,24,8,,0.8,,0.0,0
152,Southern Basin,,,6,2,"S3,S4",,,33,4,,2.5,,0.0,0
110,Southern Basin,,,5,2,"S3,S4",,,30,6,,1.29,,0.0,0
115,Lachlan Disconnected,,,9,2,"S3,S4",,,35,8,,10.14,,0.32204573249103696,0
36,Southern Basin,,,3,2,"S3,S4",,,28,9,,5.47,,0.0,0
99,Lachlan Disconnected,,,7,2,"S3,S4",,,32,5,,5.41,,0.0,0
56,Southern Basin,,,8,2,"S3,S4",,,31,7,,17.6,,0.6050838074552807,0
90,Wimmera Disconnected,,,13,2,"S3,S4",,,25,10,,11.75,,0.024364559397174242,0
102,Lachlan Disconnected,,,11,2,"S3,S4",,,24,5,,12.77,,0.0,0
93,Wimmera Disconnected,,,16,2,"S3,S4",,,28,11,,17.16,,0.01927904088106871,0
109,Southern Basin,,,5,2,"S3,S4",,,20,8,,1.0,,0.0,0
42,Southern Basin,,,8,2,"S3,S4",,,15,3,,8.76,,0.1677139063681773,0
112,Lachlan Disconnected,,,5,2,"S3,S4",,,32,4,,9.7,,0.0,0
43,Southern Basin,,,16,2,"S3,S4",,,11,3,,8.39,,0.0,0
88,Lachlan Disconnected,,,8,2,"S3,S4",,,12,3,,10.7,,0.0,0
82,Southern Basin,,,3,2,"S3,S4",,,25,8,,0.42,,0.0,0
205,Northern Basin,,,17,2,"S3,S4",,,19,5,,17.91,,0.023973623852981612,0
47,Southern Basin,,,19,2,"S3,S4",,,8,4,,11.63,,0.04137768437476974,0
55,Southern Basin,,,5,2,"S3,S4",,,21,7,,6.63,,0.7862827846773673,0
98,Lachlan Disconnected,,,4,2,"S3,S4",,,21,7,,4.43,,0.0,0
81,Wimmera Disconnected,,,7,2,"S3,S4",,,7,1,,18.24,,19.19660154323171,0
202,Northern Basin,,,8,2,"S3,S4",,,15,4,,3.89,,0.032161159661149324,0
194,Northern Basin,,,3,2,"S3,S4",,,17,5,,2.15,,0.0,0
58,Wimmera Disconnected,,,3,2,"S3,S4",,,20,3,,0.87,,0.0,0
201,Northern Basin,,,6,2,"S3,S4",,,24,7,,8.54,,14.106653160437272,0
249,Northern Basin,,,6,2,"S3,S4",,,12,2,,10.37,,0.01608636295140292,0
44,Southern Basin,,,6,2,"S3,S4",,,12,3,,3.09,,0.08046517072973694,0
54,Southern Basin,,,9,2,"S3,S4",,,13,3,,8.99,,0.322342926037925,0
197,Northern Basin,,,5,2,"S3,S4",,,8,7,,4.98,,0.3467571345107242,0
97,Lachlan Disconnected,,,4,2,"S3,S4",,,9,1,,3.25,,0.0,0
38,Southern Basin,,,4,2,"S3,S4",,,11,7,,1.21,,0.0,0
40,Southern Basin,,,3,2,"S3,S4",,,13,7,,0.52,,0.0,0
113,Southern Basin,,,5,2,"S3,S4",,,0,6,,6.48,,0.0,0
95,Lachlan Disconnected,,,4,2,"S3,S4",,,0,3,,3.96,,0.0,0
45,Wimmera Disconnected,,,6,2,"S3,S4",,,0,6,,4.81,,0.49049581368922096,0
